Mode,Transmitter,TxPower,medianRSSI
0,0,-4,-94.0
0,0,0,-92.0
0,0,2,-87.0
0,0,3,-86.5
0,0,4,-85.5
0,0,5,-85.0
0,0,6,-84.0
0,0,7,-84.0
0,0,8,-83.0
0,1,-8,-89.0
0,1,-4,-85.5
0,1,0,-82.0
0,1,2,-77.0
0,1,3,-76.0
0,1,4,-75.0
0,1,5,-74.0
0,1,6,-74.0
0,1,7,-73.0
0,1,8,-72.0
1,0,-8,-72.0
1,0,-4,-69.0
1,0,0,-65.0
1,0,2,-62.0
1,0,3,-61.0
1,0,4,-61.0
1,0,5,-60.0
1,0,6,-59.0
1,0,7,-58.0
1,0,8,-57.0
1,1,-8,-72.0
1,1,-4,-69.0
1,1,0,-65.0
1,1,2,-62.0
1,1,3,-61.0
1,1,4,-60.0
1,1,5,-60.0
1,1,6,-59.0
1,1,7,-58.0
1,1,8,-57.0
2,0,-8,-73.0
2,0,-4,-70.0
2,0,0,-66.0
2,0,2,-62.0
2,0,3,-62.0
2,0,4,-61.0
2,0,5,-61.0
2,0,6,-60.0
2,0,7,-61.0
2,0,8,-58.0
2,1,-8,-73.0
2,1,-4,-70.0
2,1,0,-66.0
2,1,2,-62.0
2,1,3,-61.0
2,1,4,-60.5
2,1,5,-60.0
2,1,6,-60.0
2,1,7,-61.0
2,1,8,-58.0
3,0,-8,-72.0
3,0,-4,-69.0
3,0,0,-65.0
3,0,2,-62.0
3,0,3,-61.0
3,0,4,-60.5
3,0,5,-60.0
3,0,6,-59.0
3,0,7,-58.0
3,0,8,-57.0
3,1,-8,-72.0
3,1,-4,-69.0
3,1,0,-65.0
3,1,2,-62.0
3,1,3,-61.0
3,1,4,-60.0
3,1,5,-60.0
3,1,6,-58.0
3,1,7,-58.0
3,1,8,-57.0
4,0,-8,-71.0
4,0,-4,-68.0
4,0,0,-65.0
4,0,2,-61.0
4,0,3,-60.5
4,0,4,-60.0
4,0,5,-59.0
4,0,6,-58.0
4,0,7,-57.0
4,0,8,-57.0
4,1,-8,-71.0
4,1,-4,-68.0
4,1,0,-64.0
4,1,2,-61.0
4,1,3,-60.0
4,1,4,-60.0
4,1,5,-59.0
4,1,6,-58.0
4,1,7,-57.0
4,1,8,-57.0
