ExpCount,TxPowerA,TxPowerB,Mode,TimeDelta,RxCount,TxCount,RssiA,RssiB,PRR,PowerDelta,DateTime,SamePayload,TransPair
0,8,-8,0,-50,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
1,8,-8,0,-45,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
2,8,-8,0,-40,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
3,8,-8,0,-35,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
4,8,-8,0,-30,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
5,8,-8,0,-25,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
6,8,-8,0,-20,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
7,8,-8,0,-15,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
8,8,-8,0,-14,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
9,8,-8,0,-13,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
10,8,-8,0,-12,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
11,8,-8,0,-11,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
12,8,-8,0,-10,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
13,8,-8,0,-9,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
14,8,-8,0,-8,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
15,8,-8,0,-7,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
16,8,-8,0,-6,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
17,8,-8,0,-5,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
18,8,-8,0,-4,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
19,8,-8,0,-3,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
20,8,-8,0,-2,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
21,8,-8,0,-1,20,20,-73.0,-87.0,100.0,-14.0,2019-09-06 18:00:49,0,A
22,8,-8,0,0,19,20,-73.0,-87.0,95.0,-14.0,2019-09-06 18:00:49,0,A
