TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,50.0,0.0,0.0,0.0,0.0
-120,47.5,0.0,0.0,0.0,0.0
-100,40.0,0.0,0.0,0.0,0.0
-90,30.0,0.0,0.0,0.0,0.0
-80,32.5,0.0,0.0,0.0,0.0
-70,22.5,0.0,0.0,0.0,0.0
-60,27.5,0.0,0.0,0.0,0.0
-50,57.5,0.0,0.0,0.0,0.0
-40,35.0,0.0,0.0,0.0,0.0
-30,2.5,0.0,0.0,0.0,0.0
-20,30.0,0.0,0.0,0.0,0.0
-10,17.5,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0
10,25.0,0.0,0.0,0.0,0.0
20,20.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
40,47.5,0.0,0.0,0.0,0.0
50,47.5,0.0,0.0,0.0,0.0
60,20.0,0.0,0.0,0.0,0.0
70,55.0,0.0,0.0,0.0,0.0
80,35.0,0.0,0.0,0.0,0.0
90,32.5,0.0,0.0,0.0,0.0
100,35.0,0.0,0.0,0.0,0.0
120,42.5,0.0,0.0,0.0,0.0
140,55.0,0.0,0.0,0.0,0.0
