Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-84.0
0,0,-4,-81.0
0,0,0,-77.0
0,0,2,-71.0
0,0,3,-70.0
0,0,4,-70.0
0,0,5,-69.0
0,0,6,-68.0
0,0,7,-68.0
0,0,8,-67.0
0,1,-8,-87.0
0,1,-4,-83.0
0,1,0,-79.0
0,1,2,-74.0
0,1,3,-73.0
0,1,4,-73.0
0,1,5,-72.0
0,1,6,-71.0
0,1,7,-71.0
0,1,8,-70.0
1,0,-8,-71.0
1,0,-4,-68.0
1,0,0,-64.0
1,0,2,-61.0
1,0,3,-60.0
1,0,4,-59.0
1,0,5,-58.0
1,0,6,-57.0
1,0,7,-56.5
1,0,8,-56.0
1,1,-8,-77.0
1,1,-4,-73.0
1,1,0,-70.0
1,1,2,-66.0
1,1,3,-65.0
1,1,4,-64.0
1,1,5,-64.0
1,1,6,-63.0
1,1,7,-62.0
1,1,8,-62.0
2,0,-8,-71.0
2,0,-4,-68.0
2,0,0,-65.0
2,0,2,-61.0
2,0,3,-60.0
2,0,4,-60.0
2,0,5,-59.0
2,0,6,-58.0
2,0,7,-57.0
2,0,8,-57.0
2,1,-8,-77.0
2,1,-4,-74.0
2,1,0,-71.0
2,1,2,-67.0
2,1,3,-66.0
2,1,4,-65.0
2,1,5,-64.0
2,1,6,-63.5
2,1,7,-63.0
2,1,8,-62.0
3,0,-8,-71.0
3,0,-4,-68.0
3,0,0,-64.0
3,0,2,-61.0
3,0,3,-60.0
3,0,4,-59.0
3,0,5,-58.0
3,0,6,-57.0
3,0,7,-57.0
3,0,8,-56.0
3,1,-8,-76.0
3,1,-4,-73.0
3,1,0,-70.0
3,1,2,-66.0
3,1,3,-65.0
3,1,4,-64.0
3,1,5,-64.0
3,1,6,-63.0
3,1,7,-62.0
3,1,8,-62.0
4,0,-8,-70.0
4,0,-4,-67.0
4,0,0,-63.0
4,0,2,-60.0
4,0,3,-59.0
4,0,4,-58.0
4,0,5,-57.0
4,0,6,-56.0
4,0,7,-56.0
4,0,8,-55.0
4,1,-8,-76.0
4,1,-4,-73.0
4,1,0,-69.0
4,1,2,-65.0
4,1,3,-64.0
4,1,4,-63.0
4,1,5,-63.0
4,1,6,-62.0
4,1,7,-62.0
4,1,8,-61.0
