TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,15.0,100.0
-120,100.0,0.0,0.0,30.0,100.0
-100,100.0,0.0,0.0,0.0,65.0
-90,100.0,0.0,0.0,40.0,100.0
-80,100.0,0.0,0.0,35.0,85.0
-70,100.0,0.0,0.0,50.0,65.0
-60,100.0,0.0,0.0,40.0,75.0
-50,100.0,0.0,0.0,0.0,100.0
-40,100.0,0.0,0.0,5.0,70.0
-30,100.0,0.0,0.0,0.0,55.0
-20,100.0,0.0,0.0,0.0,95.0
-10,100.0,7.5,42.5,20.0,95.0
0,100.0,97.5,100.0,100.0,100.0
10,100.0,5.0,70.0,25.0,100.0
20,100.0,0.0,0.0,0.0,80.0
30,100.0,0.0,0.0,0.0,60.0
40,100.0,0.0,0.0,15.0,100.0
50,100.0,0.0,0.0,0.0,85.0
60,100.0,0.0,0.0,10.0,85.0
70,100.0,0.0,0.0,35.0,95.0
80,100.0,0.0,0.0,55.0,75.0
90,100.0,0.0,0.0,40.0,60.0
100,100.0,0.0,0.0,10.0,65.0
120,100.0,0.0,0.0,40.0,100.0
140,100.0,0.0,0.0,30.0,95.0
