TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,,,,95.0,,,100.0,,,100.0,,,100.0,,
-120,,,,100.0,,,100.0,,,100.0,,,100.0,,
-100,,,,92.5,,,100.0,100.0,100.0,95.0,,,100.0,100.0,100.0
-90,,,,97.5,,,100.0,,,100.0,,,100.0,,
-80,,,,92.5,,,100.0,,,100.0,,,100.0,,
-70,,,,92.5,,,100.0,,,100.0,,,100.0,,
-60,,,,97.5,,,100.0,,,100.0,,,100.0,,
-50,,,,95.0,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
-40,,,,92.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
-30,,,,100.0,,,100.0,100.0,100.0,95.0,,,100.0,100.0,100.0
-20,,,,95.0,,,100.0,95.0,100.0,100.0,,,100.0,100.0,100.0
-10,,,,100.0,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
0,,,,100.0,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
10,,,,97.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
20,,,,97.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
30,,,,97.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
40,,,,82.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
50,,,,87.5,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
60,,,,90.0,,,100.0,,,100.0,,,100.0,,
70,,,,90.0,,,100.0,,,100.0,,,100.0,,
80,,,,92.5,,,100.0,,,100.0,,,100.0,,
90,,,,95.0,,,100.0,,,100.0,,,100.0,,
100,,,,90.0,,,100.0,100.0,100.0,100.0,,,100.0,95.0,100.0
120,,,,100.0,,,100.0,,,100.0,,,100.0,,
140,,,,100.0,,,100.0,,,100.0,,,100.0,,
