TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,22.5,90.0,100.0,100.0
-120,100.0,10.0,55.0,100.0,100.0
-100,100.0,5.0,40.0,75.0,85.0
-90,100.0,25.0,55.0,85.0,87.5
-80,100.0,12.5,85.0,100.0,100.0
-70,100.0,27.5,75.0,100.0,100.0
-60,100.0,22.5,75.0,90.0,92.5
-50,100.0,5.0,70.0,100.0,100.0
-40,100.0,25.0,50.0,95.0,100.0
-30,100.0,10.0,65.0,95.0,75.0
-20,100.0,20.0,65.0,100.0,90.0
-10,100.0,55.0,100.0,100.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,55.0,100.0,100.0,100.0
20,100.0,15.0,90.0,100.0,100.0
30,100.0,0.0,65.0,85.0,80.0
40,100.0,10.0,60.0,90.0,85.0
50,100.0,5.0,90.0,100.0,100.0
60,100.0,2.5,80.0,100.0,100.0
70,100.0,12.5,75.0,90.0,92.5
80,100.0,7.5,80.0,100.0,100.0
90,100.0,12.5,95.0,90.0,97.5
100,100.0,0.0,55.0,80.0,85.0
120,100.0,27.5,45.0,100.0,100.0
140,100.0,2.5,60.0,100.0,100.0
