TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,,,,,,,,,,,,,,
-120,100.0,,,,,,,,,,,,,,
-100,100.0,,,,,,,,,,,,,,
-90,100.0,,,,,,,,,,,,,,
-80,100.0,,,,,,,,,,,,,,
-75,100.0,,,,,,,,,,,,,,
-70,100.0,,,,,,,,,,,,,,
-60,100.0,,,,,,,,,,,,,,
-50,100.0,,,,,,,,,,,,,,
-45,100.0,,,,,,,,,,,,,,
-40,100.0,,,,,,,,,,,,,,
-35,100.0,,,,,,,,,,,,,,
-30,100.0,,,,,,,,,,,,,,
-25,100.0,,,,,,,,,,,,,,
-20,100.0,,,,,,,,,,,,,,
-16,100.0,,,,,,,,,,,,,,
-15,100.0,,,,,,,,,,,,,,
-14,100.0,,,,,,,,,,,,,,
-13,100.0,,,,,,,,,,,,,,
-12,100.0,,,,,,,,,,,,,,
-11,100.0,,,,,,,,,,,,,,
-10,100.0,,,,,,,,,,,,,,
-9,100.0,,,,,,,,,,,,,,
-8,100.0,,,,,,,,,,,,,,
-7,100.0,,,,,,,,,,,,,,
-6,100.0,,,,,,,,,,,,,,
-5,100.0,,,,,,,,,,,,,,
-4,100.0,,,,,,,,,,,,,,
-3,100.0,,,,,,,,,,,,,,
-2,100.0,,,,,,,,,,,,,,
-1,100.0,,,,,,,,,,,,,,
0,100.0,,,,,,,,,,,,,,
1,100.0,,,,,,,,,,,,,,
2,100.0,,,,,,,,,,,,,,
3,100.0,,,,,,,,,,,,,,
4,100.0,,,,,,,,,,,,,,
5,100.0,,,,,,,,,,,,,,
6,100.0,,,,,,,,,,,,,,
7,100.0,,,,,,,,,,,,,,
8,100.0,,,,,,,,,,,,,,
9,100.0,,,,,,,,,,,,,,
10,100.0,,,,,,,,,,,,,,
11,100.0,,,,,,,,,,,,,,
12,100.0,,,,,,,,,,,,,,
13,100.0,,,,,,,,,,,,,,
14,100.0,,,,,,,,,,,,,,
15,100.0,,,,,,,,,,,,,,
16,100.0,,,,,,,,,,,,,,
20,100.0,,,,,,,,,,,,,,
25,100.0,,,,,,,,,,,,,,
30,100.0,,,,,,,,,,,,,,
35,100.0,,,,,,,,,,,,,,
40,100.0,,,,,,,,,,,,,,
45,100.0,,,,,,,,,,,,,,
50,100.0,,,,,,,,,,,,,,
60,100.0,,,,,,,,,,,,,,
70,100.0,,,,,,,,,,,,,,
75,100.0,,,,,,,,,,,,,,
80,100.0,,,,,,,,,,,,,,
90,100.0,,,,,,,,,,,,,,
100,100.0,,,,,,,,,,,,,,
120,100.0,,,,,,,,,,,,,,
140,100.0,,,,,,,,,,,,,,
