TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,90.0
-120,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,65.0,95.0
-100,100.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,40.0
-90,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,50.0
-80,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,70.0
-75,82.5,,,0.0,0.0,0.0,0.0,,,0.0,,,55.0,50.0,75.0
-70,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,60.0,70.0
-60,95.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,65.0
-50,95.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,70.0,80.0
-45,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,80.0,95.0
-40,95.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,70.0,90.0
-35,75.0,70.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.5,25.0,45.0
-30,80.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,30.0
-25,95.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.5,25.0,45.0
-20,75.0,60.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,45.0,65.0
-16,35.0,,,0.0,0.0,0.0,0.0,,,7.5,,,80.0,50.0,85.0
-15,75.0,65.0,80.0,0.0,0.0,0.0,12.5,10.0,20.0,15.0,10.0,30.0,72.5,70.0,80.0
-14,75.0,70.0,90.0,0.0,0.0,0.0,30.0,15.0,35.0,25.0,10.0,30.0,77.5,70.0,80.0
-13,80.0,70.0,85.0,0.0,0.0,0.0,30.0,15.0,50.0,20.0,10.0,40.0,77.5,65.0,90.0
-12,80.0,75.0,95.0,0.0,0.0,0.0,40.0,25.0,50.0,30.0,15.0,35.0,77.5,70.0,85.0
-11,85.0,70.0,90.0,0.0,0.0,0.0,45.0,35.0,55.0,40.0,35.0,45.0,80.0,75.0,90.0
-10,85.0,75.0,90.0,0.0,0.0,0.0,42.5,35.0,55.0,35.0,20.0,45.0,90.0,75.0,95.0
-9,85.0,60.0,100.0,2.5,0.0,10.0,52.5,35.0,60.0,40.0,30.0,40.0,85.0,80.0,95.0
-8,90.0,70.0,95.0,27.5,10.0,30.0,62.5,40.0,65.0,50.0,45.0,55.0,90.0,85.0,95.0
-7,95.0,85.0,100.0,35.0,15.0,45.0,62.5,45.0,70.0,45.0,40.0,50.0,90.0,90.0,95.0
-6,90.0,80.0,100.0,45.0,35.0,55.0,65.0,60.0,75.0,65.0,60.0,75.0,100.0,95.0,100.0
-5,95.0,85.0,100.0,57.5,30.0,75.0,77.5,65.0,85.0,70.0,70.0,85.0,100.0,100.0,100.0
-4,100.0,90.0,100.0,77.5,45.0,90.0,87.5,80.0,95.0,80.0,70.0,90.0,100.0,100.0,100.0
-3,100.0,100.0,100.0,87.5,60.0,95.0,95.0,95.0,100.0,90.0,90.0,100.0,100.0,100.0,100.0
-2,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
-1,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,100.0,100.0,100.0,85.0,85.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,100.0,70.0,70.0,80.0,95.0,95.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
2,100.0,95.0,100.0,65.0,60.0,70.0,90.0,65.0,95.0,85.0,85.0,90.0,100.0,100.0,100.0
3,100.0,90.0,100.0,65.0,55.0,70.0,70.0,65.0,80.0,75.0,70.0,85.0,100.0,100.0,100.0
4,100.0,85.0,100.0,45.0,35.0,55.0,75.0,70.0,75.0,70.0,65.0,80.0,100.0,100.0,100.0
