Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-81.0
0,0,-4,-78.0
0,0,0,-74.0
0,0,2,-68.5
0,0,3,-67.5
0,0,4,-67.0
0,0,5,-66.0
0,0,6,-65.0
0,0,7,-65.0
0,0,8,-64.0
0,1,-8,-92.0
0,1,-4,-89.0
0,1,0,-85.0
0,1,2,-80.0
0,1,3,-79.0
0,1,4,-78.0
0,1,5,-78.0
0,1,6,-77.0
0,1,7,-77.0
0,1,8,-76.0
1,0,-8,-69.0
1,0,-4,-66.0
1,0,0,-63.0
1,0,2,-59.0
1,0,3,-58.0
1,0,4,-57.0
1,0,5,-56.0
1,0,6,-55.0
1,0,7,-55.0
1,0,8,-54.0
1,1,-8,-77.0
1,1,-4,-74.0
1,1,0,-70.5
1,1,2,-66.0
1,1,3,-65.0
1,1,4,-64.0
1,1,5,-64.0
1,1,6,-63.0
1,1,7,-63.0
1,1,8,-62.0
2,0,-8,-70.0
2,0,-4,-67.0
2,0,0,-63.0
2,0,2,-60.0
2,0,3,-59.0
2,0,4,-58.0
2,0,5,-57.0
2,0,6,-56.0
2,0,7,-56.0
2,0,8,-55.0
2,1,-8,-78.0
2,1,-4,-75.0
2,1,0,-71.0
2,1,2,-67.0
2,1,3,-66.0
2,1,4,-65.0
2,1,5,-64.5
2,1,6,-63.5
2,1,7,-63.0
2,1,8,-62.0
3,0,-8,-69.0
3,0,-4,-66.0
3,0,0,-63.0
3,0,2,-59.0
3,0,3,-58.0
3,0,4,-57.0
3,0,5,-56.0
3,0,6,-56.0
3,0,7,-55.0
3,0,8,-54.0
3,1,-8,-77.0
3,1,-4,-74.0
3,1,0,-70.5
3,1,2,-66.0
3,1,3,-65.0
3,1,4,-64.5
3,1,5,-64.0
3,1,6,-63.0
3,1,7,-63.0
3,1,8,-62.0
4,0,-8,-68.0
4,0,-4,-65.0
4,0,0,-62.0
4,0,2,-59.0
4,0,3,-57.0
4,0,4,-56.0
4,0,5,-56.0
4,0,6,-55.0
4,0,7,-54.0
4,0,8,-54.0
4,1,-8,-76.0
4,1,-4,-73.0
4,1,0,-70.0
4,1,2,-66.0
4,1,3,-64.5
4,1,4,-64.0
4,1,5,-63.0
4,1,6,-62.0
4,1,7,-62.0
4,1,8,-61.5
