TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,15.0,97.5
-120,100.0,0.0,0.0,5.0,97.5
-100,100.0,0.0,0.0,20.0,57.5
-90,100.0,0.0,0.0,25.0,92.5
-80,100.0,0.0,0.0,20.0,90.0
-70,100.0,0.0,0.0,15.0,67.5
-60,100.0,0.0,0.0,20.0,75.0
-50,100.0,0.0,0.0,25.0,87.5
-40,100.0,0.0,0.0,15.0,52.5
-30,90.0,0.0,0.0,20.0,45.0
-20,100.0,0.0,0.0,10.0,92.5
-10,100.0,0.0,0.0,35.0,100.0
0,85.0,0.0,0.0,65.0,100.0
10,100.0,0.0,2.5,15.0,100.0
20,100.0,0.0,0.0,15.0,75.0
30,75.0,0.0,0.0,30.0,42.5
40,100.0,0.0,0.0,25.0,95.0
50,100.0,0.0,0.0,30.0,75.0
60,100.0,0.0,0.0,10.0,70.0
70,100.0,0.0,0.0,25.0,82.5
80,100.0,0.0,0.0,25.0,72.5
90,100.0,0.0,0.0,10.0,52.5
100,100.0,0.0,0.0,10.0,62.5
120,100.0,0.0,0.0,20.0,100.0
140,95.0,0.0,0.0,5.0,95.0
