TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,55.0,0.0,0.0,0.0,7.5
-120,30.0,0.0,0.0,0.0,2.5
-100,15.0,0.0,0.0,0.0,0.0
-90,25.0,0.0,0.0,0.0,0.0
-80,40.0,0.0,0.0,0.0,2.5
-70,5.0,0.0,0.0,0.0,0.0
-60,20.0,0.0,0.0,0.0,0.0
-50,40.0,0.0,0.0,0.0,15.0
-40,10.0,0.0,0.0,0.0,10.0
-30,0.0,0.0,0.0,0.0,0.0
-20,15.0,0.0,0.0,0.0,15.0
-10,40.0,0.0,0.0,0.0,12.5
0,0.0,0.0,0.0,0.0,17.5
10,15.0,0.0,0.0,0.0,15.0
20,15.0,0.0,0.0,0.0,10.0
30,0.0,0.0,0.0,0.0,0.0
40,55.0,0.0,0.0,0.0,2.5
50,45.0,0.0,0.0,0.0,7.5
60,0.0,0.0,0.0,0.0,0.0
70,15.0,0.0,0.0,0.0,2.5
80,30.0,0.0,0.0,0.0,12.5
90,5.0,0.0,0.0,0.0,15.0
100,15.0,0.0,0.0,0.0,0.0
120,30.0,0.0,0.0,0.0,0.0
140,45.0,0.0,0.0,0.0,12.5
