TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,87.5,35.0,95.0,0.0,,,0.0,0.0,0.0,0.0,,,32.5,,
-120,92.5,55.0,100.0,0.0,,,0.0,0.0,0.0,0.0,,,37.5,,
-100,55.0,20.0,80.0,0.0,,,0.0,0.0,0.0,0.0,,,15.0,,
-90,42.5,20.0,60.0,0.0,,,0.0,0.0,0.0,0.0,,,22.5,,
-80,37.5,15.0,50.0,0.0,,,0.0,0.0,0.0,0.0,,,37.5,,
-75,,,,,,,,,,,,,,,
-70,40.0,30.0,65.0,0.0,,,0.0,0.0,0.0,0.0,,,12.5,,
-60,70.0,50.0,85.0,0.0,,,0.0,0.0,0.0,0.0,,,27.5,,
-50,92.5,80.0,95.0,0.0,,,0.0,0.0,0.0,0.0,,,22.5,,
-45,100.0,80.0,100.0,0.0,,,0.0,0.0,0.0,0.0,,,20.0,,
-40,75.0,40.0,95.0,0.0,,,0.0,0.0,0.0,0.0,,,15.0,,
-35,62.5,10.0,85.0,0.0,,,0.0,0.0,0.0,0.0,,,2.5,,
-30,57.5,25.0,75.0,0.0,,,0.0,0.0,0.0,0.0,,,10.0,,
-25,52.5,35.0,80.0,0.0,,,0.0,0.0,0.0,0.0,,,30.0,,
-20,45.0,30.0,55.0,0.0,,,0.0,0.0,0.0,2.5,,,55.0,,
-16,,,,,,,,,,,,,,,
-15,55.0,45.0,65.0,0.0,,,25.0,20.0,45.0,7.5,,,67.5,,
-14,57.5,35.0,75.0,0.0,,,35.0,30.0,45.0,12.5,,,62.5,,
-13,60.0,40.0,70.0,0.0,,,30.0,25.0,30.0,17.5,,,67.5,,
-12,65.0,60.0,80.0,0.0,,,50.0,45.0,50.0,15.0,,,57.5,,
-11,60.0,50.0,75.0,0.0,,,45.0,40.0,50.0,25.0,,,60.0,,
-10,72.5,55.0,90.0,0.0,,,45.0,40.0,55.0,32.5,,,77.5,,
-9,75.0,65.0,90.0,5.0,,,45.0,30.0,70.0,32.5,,,80.0,,
-8,75.0,35.0,95.0,15.0,,,40.0,35.0,50.0,40.0,,,70.0,,
-7,77.5,55.0,90.0,35.0,,,50.0,50.0,55.0,47.5,,,75.0,,
-6,85.0,60.0,95.0,37.5,,,65.0,50.0,65.0,45.0,,,67.5,,
-5,90.0,55.0,95.0,47.5,,,50.0,50.0,85.0,65.0,,,77.5,,
-4,85.0,80.0,100.0,52.5,,,75.0,65.0,75.0,85.0,,,87.5,,
-3,97.5,70.0,100.0,62.5,,,70.0,65.0,75.0,77.5,,,87.5,,
-2,95.0,85.0,100.0,82.5,,,90.0,80.0,95.0,97.5,,,97.5,,
-1,100.0,100.0,100.0,92.5,,,75.0,70.0,100.0,100.0,,,100.0,,
0,95.0,90.0,100.0,80.0,,,75.0,65.0,95.0,90.0,,,97.5,,
1,90.0,85.0,100.0,77.5,,,80.0,60.0,80.0,80.0,,,75.0,,
2,90.0,50.0,100.0,60.0,,,65.0,65.0,70.0,70.0,,,75.0,,
3,90.0,55.0,95.0,47.5,,,70.0,70.0,75.0,60.0,,,62.5,,
4,75.0,45.0,95.0,50.0,,,55.0,45.0,75.0,50.0,,,65.0,,
5,72.5,45.0,85.0,42.5,,,55.0,45.0,60.0,45.0,,,55.0,,
6,72.5,40.0,90.0,5.0,,,50.0,50.0,55.0,50.0,,,57.5,,
7,70.0,45.0,90.0,5.0,,,50.0,50.0,60.0,35.0,,,57.5,,
8,60.0,40.0,85.0,0.0,,,50.0,45.0,50.0,20.0,,,50.0,,
9,57.5,35.0,75.0,0.0,,,55.0,55.0,65.0,22.5,,,52.5,,
10,57.5,45.0,70.0,0.0,,,35.0,5.0,40.0,17.5,,,57.5,,
11,62.5,55.0,80.0,0.0,,,35.0,10.0,50.0,22.5,,,57.5,,
12,50.0,40.0,60.0,0.0,,,25.0,10.0,35.0,2.5,,,50.0,,
13,55.0,45.0,75.0,0.0,,,20.0,5.0,20.0,10.0,,,50.0,,
14,52.5,30.0,70.0,0.0,,,5.0,5.0,10.0,7.5,,,45.0,,
15,55.0,50.0,70.0,0.0,,,0.0,0.0,0.0,2.5,,,40.0,,
16,,,,,,,,,,,,,,,
20,52.5,40.0,60.0,0.0,,,0.0,0.0,0.0,0.0,,,30.0,,
25,60.0,45.0,70.0,0.0,,,0.0,0.0,0.0,0.0,,,17.5,,
30,25.0,5.0,55.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,
35,45.0,15.0,75.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,,
40,72.5,40.0,90.0,0.0,,,0.0,0.0,0.0,0.0,,,32.5,,
45,65.0,30.0,75.0,0.0,,,0.0,0.0,0.0,0.0,,,50.0,,
50,72.5,45.0,90.0,0.0,,,0.0,0.0,0.0,0.0,,,35.0,,
60,65.0,45.0,90.0,0.0,,,0.0,0.0,0.0,0.0,,,10.0,,
70,100.0,85.0,100.0,0.0,,,0.0,0.0,0.0,0.0,,,25.0,,
75,,,,,,,,,,,,,,,
80,90.0,55.0,100.0,0.0,,,0.0,0.0,0.0,0.0,,,25.0,,
90,70.0,55.0,85.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,,
100,57.5,35.0,70.0,0.0,,,0.0,0.0,0.0,0.0,,,15.0,,
120,47.5,15.0,70.0,0.0,,,0.0,0.0,0.0,0.0,,,32.5,,
140,80.0,55.0,95.0,0.0,,,0.0,0.0,0.0,0.0,,,45.0,,
