TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,40.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0
-120,50.0,30.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
-100,17.5,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
-90,30.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0
-80,37.5,15.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,40.0
-75,,,,,,,,,,,,,,,
-70,7.5,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
-60,17.5,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
-50,32.5,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,70.0
-45,42.5,40.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,85.0
-40,22.5,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
-30,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25,22.5,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
-20,27.5,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,55.0
-16,,,,,,,,,,,,,,,
-15,42.5,25.0,50.0,0.0,0.0,0.0,15.0,0.0,35.0,10.0,0.0,15.0,5.0,0.0,55.0
-14,40.0,35.0,50.0,0.0,0.0,0.0,5.0,0.0,25.0,25.0,0.0,35.0,10.0,0.0,65.0
-13,45.0,25.0,45.0,0.0,0.0,0.0,30.0,10.0,30.0,22.5,0.0,25.0,25.0,0.0,65.0
-12,40.0,30.0,60.0,0.0,0.0,0.0,15.0,5.0,50.0,32.5,5.0,40.0,10.0,0.0,75.0
-11,37.5,25.0,50.0,0.0,0.0,0.0,50.0,20.0,60.0,17.5,5.0,30.0,20.0,0.0,70.0
-10,37.5,30.0,50.0,0.0,0.0,0.0,35.0,15.0,70.0,37.5,5.0,60.0,25.0,0.0,75.0
-9,30.0,30.0,55.0,5.0,0.0,10.0,30.0,20.0,65.0,22.5,10.0,25.0,30.0,0.0,70.0
-8,47.5,35.0,55.0,25.0,15.0,35.0,35.0,25.0,60.0,35.0,20.0,55.0,55.0,0.0,60.0
-7,30.0,20.0,40.0,35.0,20.0,55.0,40.0,20.0,65.0,40.0,5.0,55.0,35.0,0.0,80.0
-6,42.5,25.0,60.0,45.0,40.0,45.0,65.0,30.0,80.0,52.5,15.0,65.0,55.0,0.0,95.0
-5,42.5,30.0,60.0,55.0,40.0,60.0,50.0,30.0,65.0,47.5,15.0,75.0,75.0,0.0,100.0
-4,42.5,35.0,55.0,65.0,50.0,70.0,55.0,45.0,65.0,52.5,45.0,70.0,80.0,5.0,100.0
-3,60.0,50.0,85.0,70.0,60.0,75.0,55.0,45.0,75.0,55.0,50.0,75.0,90.0,5.0,100.0
-2,60.0,50.0,70.0,80.0,70.0,85.0,90.0,60.0,95.0,85.0,85.0,90.0,95.0,30.0,100.0
-1,75.0,70.0,90.0,85.0,75.0,95.0,70.0,60.0,95.0,87.5,85.0,95.0,100.0,75.0,100.0
0,70.0,55.0,90.0,75.0,60.0,85.0,75.0,60.0,85.0,70.0,50.0,75.0,100.0,30.0,100.0
1,50.0,45.0,70.0,60.0,55.0,70.0,55.0,45.0,80.0,67.5,55.0,70.0,95.0,10.0,100.0
2,37.5,25.0,60.0,60.0,45.0,75.0,55.0,35.0,80.0,50.0,45.0,70.0,90.0,5.0,100.0
3,47.5,30.0,60.0,45.0,40.0,65.0,50.0,40.0,75.0,52.5,45.0,65.0,70.0,15.0,100.0
4,40.0,30.0,45.0,50.0,25.0,55.0,40.0,30.0,65.0,35.0,25.0,40.0,60.0,5.0,100.0
5,32.5,25.0,50.0,30.0,25.0,35.0,55.0,25.0,60.0,35.0,25.0,50.0,65.0,0.0,100.0
6,42.5,25.0,55.0,10.0,5.0,20.0,30.0,20.0,45.0,35.0,15.0,55.0,50.0,0.0,80.0
7,37.5,20.0,60.0,5.0,0.0,10.0,20.0,15.0,40.0,40.0,20.0,50.0,50.0,0.0,80.0
8,30.0,10.0,55.0,0.0,0.0,0.0,25.0,5.0,45.0,27.5,15.0,40.0,50.0,0.0,70.0
9,25.0,15.0,40.0,0.0,0.0,0.0,30.0,20.0,50.0,32.5,10.0,35.0,45.0,0.0,70.0
10,30.0,20.0,50.0,0.0,0.0,0.0,20.0,0.0,45.0,22.5,10.0,45.0,50.0,0.0,70.0
11,25.0,15.0,40.0,0.0,0.0,0.0,15.0,0.0,45.0,10.0,0.0,25.0,20.0,0.0,80.0
12,35.0,15.0,40.0,0.0,0.0,0.0,5.0,0.0,35.0,15.0,5.0,25.0,45.0,0.0,65.0
13,32.5,25.0,45.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,40.0,35.0,0.0,70.0
14,25.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,20.0,30.0,0.0,55.0
15,25.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,80.0
16,,,,,,,,,,,,,,,
20,30.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,40.0
25,17.5,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
35,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
40,47.5,35.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.0
45,45.0,35.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0
50,40.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,65.0
60,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
70,25.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
75,,,,,,,,,,,,,,,
80,20.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,75.0
90,10.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
100,20.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
