TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,87.5,67.5,100.0,100.0
-120,100.0,82.5,57.5,97.5,100.0
-100,100.0,90.0,60.0,100.0,100.0
-90,100.0,95.0,67.5,100.0,100.0
-80,100.0,87.5,85.0,100.0,100.0
-70,100.0,92.5,70.0,100.0,100.0
-60,100.0,95.0,62.5,100.0,100.0
-50,100.0,90.0,82.5,100.0,100.0
-40,100.0,95.0,80.0,100.0,100.0
-30,100.0,82.5,82.5,100.0,100.0
-20,100.0,75.0,100.0,100.0,100.0
-10,100.0,100.0,100.0,100.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0,100.0
20,100.0,87.5,90.0,100.0,100.0
30,100.0,80.0,97.5,100.0,100.0
40,100.0,82.5,87.5,100.0,100.0
50,100.0,70.0,72.5,100.0,100.0
60,100.0,87.5,55.0,100.0,100.0
70,100.0,82.5,67.5,100.0,100.0
80,100.0,55.0,70.0,100.0,100.0
90,100.0,67.5,50.0,100.0,100.0
100,100.0,95.0,60.0,100.0,100.0
120,100.0,95.0,55.0,100.0,100.0
140,100.0,95.0,60.0,95.0,100.0
