MeasureCount,Transmitter,TxPower,Mode,RSSI
0,0,-8,0,-81
1,0,-8,0,-81
2,0,-8,0,-82
3,0,-8,0,-81
4,0,-8,0,-81
5,0,-8,0,-82
6,0,-8,0,-81
7,0,-8,0,-82
8,0,-8,0,-81
9,0,-8,0,-81
10,0,-8,0,-81
11,0,-8,0,-82
12,0,-8,0,-81
13,0,-8,0,-81
14,0,-8,0,-81
15,0,-8,0,-81
16,0,-8,0,-81
17,0,-8,0,-81
18,0,-8,0,-81
19,0,-8,0,-82
20,1,-8,0,-85
21,1,-8,0,-83
22,1,-8,0,-84
23,1,-8,0,-84
24,1,-8,0,-84
25,1,-8,0,-84
26,1,-8,0,-84
27,1,-8,0,-84
28,1,-8,0,-84
29,1,-8,0,-84
30,1,-8,0,-84
31,1,-8,0,-84
32,1,-8,0,-84
33,1,-8,0,-84
34,1,-8,0,-84
35,1,-8,0,-84
36,1,-8,0,-84
37,1,-8,0,-84
38,1,-8,0,-84
39,1,-8,0,-84
40,0,-4,0,-78
41,0,-4,0,-78
42,0,-4,0,-78
43,0,-4,0,-78
44,0,-4,0,-78
45,0,-4,0,-78
46,0,-4,0,-78
47,0,-4,0,-78
48,0,-4,0,-78
49,0,-4,0,-78
50,0,-4,0,-78
51,0,-4,0,-78
52,0,-4,0,-78
53,0,-4,0,-78
54,0,-4,0,-78
55,0,-4,0,-78
56,0,-4,0,-78
57,0,-4,0,-79
58,0,-4,0,-78
59,0,-4,0,-78
60,1,-4,0,-80
61,1,-4,0,-81
62,1,-4,0,-81
63,1,-4,0,-80
64,1,-4,0,-81
65,1,-4,0,-81
66,1,-4,0,-81
67,1,-4,0,-80
68,1,-4,0,-80
69,1,-4,0,-81
70,1,-4,0,-81
71,1,-4,0,-80
72,1,-4,0,-81
73,1,-4,0,-80
74,1,-4,0,-81
75,1,-4,0,-81
76,1,-4,0,-81
77,1,-4,0,-81
78,1,-4,0,-81
79,1,-4,0,-81
80,0,0,0,-74
81,0,0,0,-74
82,0,0,0,-74
83,0,0,0,-74
84,0,0,0,-74
