MeasureCount,Transmitter,TxPower,Mode,RSSI
0,0,-8,0,-85
1,0,-8,0,-85
2,0,-8,0,-85
3,0,-8,0,-85
4,0,-8,0,-85
5,0,-8,0,-85
6,0,-8,0,-85
7,0,-8,0,-85
8,0,-8,0,-84
9,0,-8,0,-85
10,0,-8,0,-86
11,0,-8,0,-85
12,0,-8,0,-85
13,0,-8,0,-85
14,0,-8,0,-85
15,0,-8,0,-85
16,0,-8,0,-85
17,0,-8,0,-86
18,0,-8,0,-85
19,0,-8,0,-86
20,1,-8,0,-93
21,1,-8,0,-94
22,1,-8,0,-92
23,1,-8,0,-93
24,1,-8,0,NONE
25,1,-8,0,NONE
26,1,-8,0,-93
27,1,-8,0,-93
28,1,-8,0,-94
29,1,-8,0,-92
30,1,-8,0,-92
31,1,-8,0,-92
32,1,-8,0,-93
33,1,-8,0,-92
34,1,-8,0,-93
35,1,-8,0,-92
36,1,-8,0,-93
37,1,-8,0,-93
38,1,-8,0,-91
39,1,-8,0,-91
40,0,-4,0,-81
41,0,-4,0,-82
42,0,-4,0,-81
43,0,-4,0,-82
44,0,-4,0,-81
45,0,-4,0,-82
46,0,-4,0,-82
47,0,-4,0,-82
48,0,-4,0,-82
49,0,-4,0,-82
50,0,-4,0,-81
51,0,-4,0,-82
52,0,-4,0,-82
53,0,-4,0,-82
54,0,-4,0,-82
55,0,-4,0,-81
56,0,-4,0,-82
57,0,-4,0,-82
58,0,-4,0,-81
59,0,-4,0,-82
60,1,-4,0,-90
61,1,-4,0,-89
62,1,-4,0,-90
63,1,-4,0,-89
64,1,-4,0,-89
65,1,-4,0,-90
66,1,-4,0,-90
67,1,-4,0,-91
68,1,-4,0,-90
69,1,-4,0,-90
70,1,-4,0,-89
71,1,-4,0,-90
72,1,-4,0,-89
73,1,-4,0,-89
74,1,-4,0,-90
75,1,-4,0,-89
76,1,-4,0,-89
77,1,-4,0,-90
78,1,-4,0,-91
79,1,-4,0,-89
80,0,0,0,-78
81,0,0,0,-77
82,0,0,0,-77
83,0,0,0,-77
84,0,0,0,-77
85,0,0,0,-77
86,0,0,0,-77
87,0,0,0,-77
88,0,0,0,-78
89,0,0,0,-77
90,0,0,0,-77
91,0,0,0,-78
92,0,0,0,-77
93,0,0,0,-78
94,0,0,0,-78
95,0,0,0,-77
96,0,0,0,-77
97,0,0,0,-78
98,0,0,0,-78
99,0,0,0,-78
100,1,0,0,-86
101,1,0,0,-85
102,1,0,0,-87
103,1,0,0,-86
104,1,0,0,-86
105,1,0,0,-86
106,1,0,0,-86
107,1,0,0,-86
108,1,0,0,-85
109,1,0,0,-86
110,1,0,0,-86
111,1,0,0,-86
112,1,0,0,-85
113,1,0,0,-86
114,1,0,0,-86
115,1,0,0,-86
116,1,0,0,-86
117,1,0,0,-86
118,1,0,0,-86
119,1,0,0,-86
120,0,2,0,-72
121,0,2,0,-73
122,0,2,0,-72
123,0,2,0,-73
124,0,2,0,-72
125,0,2,0,-72
126,0,2,0,-73
127,0,2,0,-73
128,0,2,0,-73
129,0,2,0,-73
130,0,2,0,-73
131,0,2,0,-72
132,0,2,0,-72
133,0,2,0,-73
134,0,2,0,-73
135,0,2,0,-72
136,0,2,0,-72
137,0,2,0,-72
138,0,2,0,-72
139,0,2,0,-73
140,1,2,0,-81
141,1,2,0,-81
142,1,2,0,-82
143,1,2,0,-81
144,1,2,0,-81
145,1,2,0,-81
146,1,2,0,-81
147,1,2,0,-81
148,1,2,0,-81
149,1,2,0,-81
150,1,2,0,-81
151,1,2,0,-81
152,1,2,0,-81
153,1,2,0,-81
154,1,2,0,-81
155,1,2,0,-81
156,1,2,0,-81
157,1,2,0,-81
158,1,2,0,-81
159,1,2,0,-81
160,0,3,0,-71
161,0,3,0,-71
162,0,3,0,-71
163,0,3,0,-71
164,0,3,0,-71
165,0,3,0,-71
166,0,3,0,-71
167,0,3,0,-71
168,0,3,0,-71
169,0,3,0,-71
170,0,3,0,-71
171,0,3,0,-71
172,0,3,0,-71
173,0,3,0,-72
174,0,3,0,-71
175,0,3,0,-71
176,0,3,0,-71
177,0,3,0,-71
178,0,3,0,-71
179,0,3,0,-71
180,1,3,0,-80
181,1,3,0,-80
182,1,3,0,-80
183,1,3,0,-80
184,1,3,0,-80
185,1,3,0,-80
186,1,3,0,-80
187,1,3,0,-80
188,1,3,0,-80
189,1,3,0,-80
190,1,3,0,-80
191,1,3,0,-80
192,1,3,0,-80
193,1,3,0,-80
194,1,3,0,-80
195,1,3,0,-80
196,1,3,0,-80
197,1,3,0,-80
198,1,3,0,-80
199,1,3,0,-80
200,0,4,0,-71
201,0,4,0,-71
202,0,4,0,-71
203,0,4,0,-71
204,0,4,0,-71
205,0,4,0,-71
206,0,4,0,-71
207,0,4,0,-71
208,0,4,0,-71
209,0,4,0,-71
210,0,4,0,-71
211,0,4,0,-71
212,0,4,0,-71
213,0,4,0,-71
214,0,4,0,-71
215,0,4,0,-71
216,0,4,0,-71
217,0,4,0,-71
218,0,4,0,-71
219,0,4,0,-71
220,1,4,0,-80
221,1,4,0,-79
222,1,4,0,-80
223,1,4,0,-79
224,1,4,0,-80
225,1,4,0,-79
226,1,4,0,-80
227,1,4,0,-79
228,1,4,0,-80
229,1,4,0,-79
230,1,4,0,-79
231,1,4,0,-79
232,1,4,0,-80
233,1,4,0,-79
234,1,4,0,-80
235,1,4,0,-80
236,1,4,0,-80
237,1,4,0,-79
238,1,4,0,-79
239,1,4,0,-79
240,0,5,0,-70
241,0,5,0,-70
242,0,5,0,-70
243,0,5,0,-70
244,0,5,0,-70
245,0,5,0,-70
246,0,5,0,-70
247,0,5,0,-70
248,0,5,0,-70
249,0,5,0,-70
250,0,5,0,-70
251,0,5,0,-70
252,0,5,0,-70
253,0,5,0,-70
254,0,5,0,-70
255,0,5,0,-70
256,0,5,0,-70
257,0,5,0,-70
258,0,5,0,-70
259,0,5,0,-70
260,1,5,0,-79
261,1,5,0,-78
262,1,5,0,-79
