ExpCount,TxPowerA,TxPowerB,Mode,TimeDelta,RxCount,TxCount
0,8,-8,0,-100,20,20
1,8,-8,0,-75,20,20
2,8,-8,0,-50,20,20
3,8,-8,0,-45,20,20
4,8,-8,0,-40,20,20
5,8,-8,0,-35,20,20
6,8,-8,0,-30,20,20
7,8,-8,0,-25,20,20
8,8,-8,0,-20,20,20
9,8,-8,0,-16,20,20
10,8,-8,0,-15,20,20
11,8,-8,0,-14,20,20
12,8,-8,0,-13,20,20
13,8,-8,0,-12,20,20
14,8,-8,0,-11,20,20
15,8,-8,0,-10,20,20
16,8,-8,0,-9,20,20
17,8,-8,0,-8,20,20
18,8,-8,0,-7,20,20
19,8,-8,0,-6,20,20
20,8,-8,0,-5,20,20
21,8,-8,0,-4,20,20
22,8,-8,0,-3,20,20
23,8,-8,0,-2,20,20
24,8,-8,0,-1,20,20
25,8,-8,0,0,20,20
26,8,-8,0,1,20,20
27,8,-8,0,2,20,20
28,8,-8,0,3,20,20
29,8,-8,0,4,20,20
30,8,-8,0,5,20,20
31,8,-8,0,6,20,20
32,8,-8,0,7,20,20
33,8,-8,0,8,20,20
34,8,-8,0,9,20,20
35,8,-8,0,10,20,20
36,8,-8,0,11,20,20
37,8,-8,0,12,20,20
38,8,-8,0,13,20,20
39,8,-8,0,14,20,20
40,8,-8,0,15,20,20
41,8,-8,0,16,20,20
42,8,-8,0,20,20,20
43,8,-8,0,25,20,20
44,8,-8,0,30,20,20
45,8,-8,0,35,20,20
46,8,-8,0,40,20,20
47,8,-8,0,45,20,20
48,8,-8,0,50,20,20
49,8,-8,0,75,20,20
50,8,-8,0,100,20,20
51,8,-4,0,-100,20,20
52,8,-4,0,-75,20,20
53,8,-4,0,-50,20,20
54,8,-4,0,-45,20,20
55,8,-4,0,-40,20,20
56,8,-4,0,-35,20,20
57,8,-4,0,-30,20,20
58,8,-4,0,-25,20,20
59,8,-4,0,-20,20,20
60,8,-4,0,-16,20,20
61,8,-4,0,-15,20,20
62,8,-4,0,-14,20,20
63,8,-4,0,-13,20,20
64,8,-4,0,-12,20,20
65,8,-4,0,-11,20,20
66,8,-4,0,-10,20,20
67,8,-4,0,-9,20,20
68,8,-4,0,-8,20,20
69,8,-4,0,-7,20,20
70,8,-4,0,-6,20,20
71,8,-4,0,-5,20,20
72,8,-4,0,-4,20,20
73,8,-4,0,-3,20,20
74,8,-4,0,-2,20,20
75,8,-4,0,-1,20,20
76,8,-4,0,0,20,20
77,8,-4,0,1,20,20
78,8,-4,0,2,20,20
79,8,-4,0,3,20,20
80,8,-4,0,4,20,20
81,8,-4,0,5,20,20
82,8,-4,0,6,20,20
83,8,-4,0,7,20,20
84,8,-4,0,8,20,20
85,8,-4,0,9,20,20
86,8,-4,0,10,20,20
87,8,-4,0,11,20,20
88,8,-4,0,12,20,20
89,8,-4,0,13,20,20
90,8,-4,0,14,20,20
91,8,-4,0,15,20,20
92,8,-4,0,16,20,20
93,8,-4,0,20,20,20
94,8,-4,0,25,20,20
95,8,-4,0,30,20,20
96,8,-4,0,35,20,20
97,8,-4,0,40,20,20
98,8,-4,0,45,20,20
99,8,-4,0,50,20,20
100,8,-4,0,75,20,20
101,8,-4,0,100,20,20
102,8,0,0,-100,20,20
103,8,0,0,-75,20,20
104,8,0,0,-50,20,20
105,8,0,0,-45,20,20
106,8,0,0,-40,20,20
107,8,0,0,-35,20,20
108,8,0,0,-30,20,20
109,8,0,0,-25,20,20
110,8,0,0,-20,20,20
111,8,0,0,-16,20,20
112,8,0,0,-15,20,20
113,8,0,0,-14,20,20
114,8,0,0,-13,20,20
115,8,0,0,-12,20,20
116,8,0,0,-11,20,20
117,8,0,0,-10,20,20
118,8,0,0,-9,20,20
119,8,0,0,-8,20,20
120,8,0,0,-7,20,20
121,8,0,0,-6,20,20
122,8,0,0,-5,20,20
123,8,0,0,-4,20,20
124,8,0,0,-3,20,20
125,8,0,0,-2,20,20
126,8,0,0,-1,20,20
127,8,0,0,0,20,20
128,8,0,0,1,20,20
129,8,0,0,2,20,20
130,8,0,0,3,20,20
131,8,0,0,4,20,20
132,8,0,0,5,20,20
133,8,0,0,6,20,20
134,8,0,0,7,20,20
135,8,0,0,8,20,20
136,8,0,0,9,20,20
137,8,0,0,10,20,20
138,8,0,0,11,20,20
139,8,0,0,12,20,20
140,8,0,0,13,20,20
141,8,0,0,14,20,20
142,8,0,0,15,20,20
143,8,0,0,16,20,20
144,8,0,0,20,20,20
145,8,0,0,25,20,20
146,8,0,0,30,20,20
147,8,0,0,35,20,20
148,8,0,0,40,20,20
149,8,0,0,45,20,20
150,8,0,0,50,20,20
151,8,0,0,75,20,20
152,8,0,0,100,20,20
153,8,2,0,-100,20,20
154,8,2,0,-75,20,20
155,8,2,0,-50,20,20
156,8,2,0,-45,20,20
157,8,2,0,-40,20,20
158,8,2,0,-35,20,20
159,8,2,0,-30,20,20
160,8,2,0,-25,20,20
161,8,2,0,-20,20,20
162,8,2,0,-16,20,20
163,8,2,0,-15,20,20
164,8,2,0,-14,20,20
165,8,2,0,-13,20,20
166,8,2,0,-12,20,20
167,8,2,0,-11,20,20
168,8,2,0,-10,20,20
169,8,2,0,-9,20,20
170,8,2,0,-8,20,20
171,8,2,0,-7,20,20
172,8,2,0,-6,20,20
173,8,2,0,-5,20,20
174,8,2,0,-4,20,20
175,8,2,0,-3,20,20
176,8,2,0,-2,20,20
177,8,2,0,-1,20,20
178,8,2,0,0,20,20
179,8,2,0,1,20,20
180,8,2,0,2,20,20
181,8,2,0,3,20,20
182,8,2,0,4,20,20
183,8,2,0,5,20,20
184,8,2,0,6,20,20
185,8,2,0,7,20,20
186,8,2,0,8,20,20
187,8,2,0,9,20,20
188,8,2,0,10,20,20
189,8,2,0,11,20,20
190,8,2,0,12,20,20
191,8,2,0,13,20,20
192,8,2,0,14,20,20
193,8,2,0,15,20,20
194,8,2,0,16,20,20
195,8,2,0,20,20,20
196,8,2,0,25,20,20
197,8,2,0,30,20,20
198,8,2,0,35,20,20
199,8,2,0,40,20,20
200,8,2,0,45,20,20
201,8,2,0,50,20,20
202,8,2,0,75,20,20
203,8,2,0,100,20,20
204,8,3,0,-100,20,20
205,8,3,0,-75,20,20
206,8,3,0,-50,20,20
207,8,3,0,-45,20,20
208,8,3,0,-40,20,20
209,8,3,0,-35,20,20
210,8,3,0,-30,20,20
211,8,3,0,-25,20,20
212,8,3,0,-20,20,20
213,8,3,0,-16,20,20
214,8,3,0,-15,20,20
215,8,3,0,-14,20,20
216,8,3,0,-13,20,20
217,8,3,0,-12,20,20
218,8,3,0,-11,20,20
219,8,3,0,-10,20,20
220,8,3,0,-9,20,20
221,8,3,0,-8,20,20
222,8,3,0,-7,20,20
223,8,3,0,-6,20,20
224,8,3,0,-5,20,20
225,8,3,0,-4,20,20
226,8,3,0,-3,20,20
227,8,3,0,-2,20,20
228,8,3,0,-1,20,20
229,8,3,0,0,20,20
230,8,3,0,1,20,20
231,8,3,0,2,20,20
232,8,3,0,3,20,20
233,8,3,0,4,20,20
234,8,3,0,5,20,20
235,8,3,0,6,20,20
236,8,3,0,7,20,20
237,8,3,0,8,20,20
238,8,3,0,9,20,20
239,8,3,0,10,20,20
