MeasureCount,Transmitter,TxPower,Mode,RSSI
0,0,-8,0,-82
1,0,-8,0,-81
2,0,-8,0,-81
3,0,-8,0,-81
4,0,-8,0,-81
5,0,-8,0,-81
6,0,-8,0,-81
7,0,-8,0,-81
8,0,-8,0,-81
9,0,-8,0,-81
10,0,-8,0,-81
11,0,-8,0,-81
12,0,-8,0,-80
13,0,-8,0,-81
14,0,-8,0,-81
15,0,-8,0,-82
16,0,-8,0,-81
17,0,-8,0,-81
18,0,-8,0,-81
19,0,-8,0,-81
20,1,-8,0,-77
21,1,-8,0,-76
22,1,-8,0,-77
23,1,-8,0,-77
24,1,-8,0,-76
25,1,-8,0,-76
26,1,-8,0,-76
27,1,-8,0,-76
28,1,-8,0,-76
29,1,-8,0,-76
30,1,-8,0,-77
31,1,-8,0,-77
32,1,-8,0,-76
33,1,-8,0,-77
34,1,-8,0,-77
35,1,-8,0,-77
36,1,-8,0,-77
37,1,-8,0,-77
38,1,-8,0,-76
39,1,-8,0,-77
40,0,-4,0,-78
41,0,-4,0,-78
42,0,-4,0,-78
43,0,-4,0,-78
44,0,-4,0,-78
45,0,-4,0,-78
46,0,-4,0,-78
47,0,-4,0,-78
48,0,-4,0,-78
49,0,-4,0,-78
50,0,-4,0,-77
51,0,-4,0,-78
52,0,-4,0,-77
53,0,-4,0,-78
54,0,-4,0,-78
55,0,-4,0,-78
56,0,-4,0,-77
57,0,-4,0,-78
58,0,-4,0,-78
59,0,-4,0,-78
60,1,-4,0,-73
61,1,-4,0,-73
62,1,-4,0,-73
63,1,-4,0,-73
64,1,-4,0,-73
65,1,-4,0,-73
66,1,-4,0,-73
67,1,-4,0,-73
68,1,-4,0,-73
69,1,-4,0,NONE
70,1,-4,0,-73
71,1,-4,0,-73
72,1,-4,0,-73
73,1,-4,0,-73
74,1,-4,0,-73
75,1,-4,0,-73
76,1,-4,0,-73
77,1,-4,0,-73
78,1,-4,0,-73
79,1,-4,0,-73
80,0,0,0,-74
81,0,0,0,-74
82,0,0,0,-74
83,0,0,0,-74
84,0,0,0,-74
85,0,0,0,-74
86,0,0,0,-73
87,0,0,0,-73
88,0,0,0,-74
89,0,0,0,-74
90,0,0,0,-73
91,0,0,0,-73
92,0,0,0,-73
93,0,0,0,-74
94,0,0,0,-73
95,0,0,0,-74
96,0,0,0,-73
97,0,0,0,-74
98,0,0,0,-73
99,0,0,0,-73
100,1,0,0,-69
101,1,0,0,-69
102,1,0,0,-69
103,1,0,0,-69
104,1,0,0,-69
105,1,0,0,-69
106,1,0,0,-69
107,1,0,0,-69
108,1,0,0,-69
109,1,0,0,-69
110,1,0,0,-69
111,1,0,0,-69
112,1,0,0,-69
113,1,0,0,-69
114,1,0,0,-69
115,1,0,0,-69
116,1,0,0,-69
117,1,0,0,-69
118,1,0,0,-69
119,1,0,0,-69
120,0,2,0,-68
121,0,2,0,-68
122,0,2,0,-69
123,0,2,0,-68
124,0,2,0,-69
125,0,2,0,-69
126,0,2,0,-68
127,0,2,0,-69
128,0,2,0,-68
129,0,2,0,-68
130,0,2,0,-68
131,0,2,0,-69
132,0,2,0,-68
133,0,2,0,-68
134,0,2,0,-69
135,0,2,0,-69
136,0,2,0,-68
137,0,2,0,-68
138,0,2,0,-68
139,0,2,0,-68
140,1,2,0,-64
141,1,2,0,-64
142,1,2,0,-64
143,1,2,0,-64
144,1,2,0,-64
145,1,2,0,-64
146,1,2,0,-64
147,1,2,0,-64
148,1,2,0,-63
149,1,2,0,-64
150,1,2,0,-64
151,1,2,0,-64
152,1,2,0,-64
153,1,2,0,-64
154,1,2,0,-64
155,1,2,0,-64
156,1,2,0,-64
157,1,2,0,-64
158,1,2,0,-64
159,1,2,0,-64
160,0,3,0,-67
161,0,3,0,-68
162,0,3,0,-67
163,0,3,0,-67
164,0,3,0,-67
165,0,3,0,-67
166,0,3,0,-68
167,0,3,0,-67
168,0,3,0,-67
169,0,3,0,-68
170,0,3,0,-67
171,0,3,0,-68
172,0,3,0,-67
173,0,3,0,-68
174,0,3,0,-67
175,0,3,0,-68
176,0,3,0,-67
177,0,3,0,-68
178,0,3,0,-67
179,0,3,0,-68
180,1,3,0,-63
181,1,3,0,-64
182,1,3,0,-63
183,1,3,0,-62
184,1,3,0,-62
185,1,3,0,-63
186,1,3,0,-62
187,1,3,0,-63
188,1,3,0,-63
189,1,3,0,-62
190,1,3,0,-63
191,1,3,0,-63
192,1,3,0,-63
193,1,3,0,-63
194,1,3,0,-62
195,1,3,0,-63
196,1,3,0,-63
197,1,3,0,-63
198,1,3,0,-63
199,1,3,0,-63
200,0,4,0,-67
201,0,4,0,-68
202,0,4,0,-67
203,0,4,0,-67
204,0,4,0,-67
205,0,4,0,-67
206,0,4,0,-67
207,0,4,0,-67
208,0,4,0,-67
209,0,4,0,-67
210,0,4,0,-67
211,0,4,0,-68
212,0,4,0,-67
213,0,4,0,-67
214,0,4,0,-67
215,0,4,0,-67
216,0,4,0,-68
217,0,4,0,-67
218,0,4,0,-67
219,0,4,0,-67
220,1,4,0,-62
221,1,4,0,-62
222,1,4,0,-62
223,1,4,0,-62
224,1,4,0,-62
225,1,4,0,-62
226,1,4,0,-62
227,1,4,0,-62
228,1,4,0,-62
229,1,4,0,-62
230,1,4,0,-62
231,1,4,0,-62
232,1,4,0,-62
233,1,4,0,-62
234,1,4,0,-62
235,1,4,0,-62
236,1,4,0,-62
237,1,4,0,-62
238,1,4,0,-62
239,1,4,0,-62
240,0,5,0,-66
241,0,5,0,-66
242,0,5,0,-66
243,0,5,0,-66
244,0,5,0,-66
245,0,5,0,-66
246,0,5,0,-66
247,0,5,0,-66
248,0,5,0,-66
249,0,5,0,-66
250,0,5,0,-66
251,0,5,0,-66
252,0,5,0,-66
253,0,5,0,-66
254,0,5,0,-66
255,0,5,0,-66
256,0,5,0,-66
257,0,5,0,-66
258,0,5,0,-66
259,0,5,0,-66
260,1,5,0,-62
261,1,5,0,-62
262,1,5,0,-62
263,1,5,0,-62
264,1,5,0,-62
265,1,5,0,-62
266,1,5,0,-62
267,1,5,0,-62
268,1,5,0,-62
269,1,5,0,-62
270,1,5,0,-62
271,1,5,0,-62
272,1,5,0,-62
273,1,5,0,-62
274,1,5,0,-62
275,1,5,0,-62
276,1,5,0,-62
277,1,5,0,-62
278,1,5,0,-62
279,1,5,0,-62
280,0,6,0,-65
281,0,6,0,-66
282,0,6,0,-65
283,0,6,0,-65
284,0,6,0,-65
285,0,6,0,-65
286,0,6,0,-65
287,0,6,0,-65
288,0,6,0,-65
289,0,6,0,-65
290,0,6,0,-65
291,0,6,0,-65
292,0,6,0,-65
293,0,6,0,-65
294,0,6,0,-65
295,0,6,0,-65
296,0,6,0,-65
297,0,6,0,-65
298,0,6,0,-65
299,0,6,0,-65
300,1,6,0,-61
301,1,6,0,-61
302,1,6,0,-62
303,1,6,0,-61
304,1,6,0,-61
305,1,6,0,-62
306,1,6,0,-62
307,1,6,0,-61
308,1,6,0,-62
309,1,6,0,-61
310,1,6,0,-61
311,1,6,0,-61
312,1,6,0,-62
313,1,6,0,-61
314,1,6,0,-61
315,1,6,0,-62
316,1,6,0,-61
317,1,6,0,-62
318,1,6,0,-61
319,1,6,0,-61
320,0,7,0,-65
321,0,7,0,-65
322,0,7,0,-65
323,0,7,0,-65
324,0,7,0,-65
325,0,7,0,-65
326,0,7,0,-65
327,0,7,0,-65
328,0,7,0,-65
329,0,7,0,-65
330,0,7,0,-65
331,0,7,0,-65
332,0,7,0,-65
333,0,7,0,-65
