Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, -92
1, 0, -8, 0, -92
2, 0, -8, 0, -92
3, 0, -8, 0, -92
4, 0, -8, 0, -92
5, 0, -8, 0, -91
6, 0, -8, 0, -92
7, 0, -8, 0, -92
8, 0, -8, 0, -93
9, 0, -8, 0, -91
10, 0, -8, 0, -93
11, 0, -8, 0, -92
12, 0, -8, 0, -93
13, 0, -8, 0, -92
14, 0, -8, 0, -92
15, 0, -8, 0, -91
16, 0, -8, 0, -92
17, 0, -8, 0, -92
18, 0, -8, 0, -92
19, 0, -8, 0, -91
20, 1, -8, 0, -89
21, 1, -8, 0, -89
22, 1, -8, 0, -89
23, 1, -8, 0, -90
24, 1, -8, 0, -89
25, 1, -8, 0, -90
26, 1, -8, 0, -90
27, 1, -8, 0, -89
28, 1, -8, 0, -89
29, 1, -8, 0, -89
30, 1, -8, 0, -90
31, 1, -8, 0, -90
32, 1, -8, 0, -89
33, 1, -8, 0, -89
34, 1, -8, 0, -88
35, 1, -8, 0, -90
36, 1, -8, 0, -90
37, 1, -8, 0, -89
38, 1, -8, 0, -89
39, 1, -8, 0, -89
40, 0, -4, 0, -90
41, 0, -4, 0, -88
42, 0, -4, 0, -89
43, 0, -4, 0, -88
44, 0, -4, 0, -89
45, 0, -4, 0, -89
46, 0, -4, 0, -89
47, 0, -4, 0, -89
48, 0, -4, 0, -90
49, 0, -4, 0, -88
50, 0, -4, 0, -89
51, 0, -4, 0, -87
52, 0, -4, 0, -88
53, 0, -4, 0, -88
54, 0, -4, 0, -89
55, 0, -4, 0, -88
56, 0, -4, 0, -90
57, 0, -4, 0, -90
58, 0, -4, 0, -89
59, 0, -4, 0, -89
60, 1, -4, 0, -87
61, 1, -4, 0, -85
62, 1, -4, 0, -86
63, 1, -4, 0, -86
64, 1, -4, 0, -86
65, 1, -4, 0, -86
66, 1, -4, 0, -86
67, 1, -4, 0, -86
68, 1, -4, 0, -86
69, 1, -4, 0, -86
70, 1, -4, 0, -86
71, 1, -4, 0, -86
72, 1, -4, 0, -86
73, 1, -4, 0, -86
74, 1, -4, 0, -86
75, 1, -4, 0, -86
76, 1, -4, 0, -86
77, 1, -4, 0, -86
78, 1, -4, 0, -85
79, 1, -4, 0, -86
80, 0, 0, 0, -85
81, 0, 0, 0, -84
82, 0, 0, 0, -85
83, 0, 0, 0, -84
84, 0, 0, 0, -85
85, 0, 0, 0, -84
86, 0, 0, 0, -85
87, 0, 0, 0, -84
88, 0, 0, 0, -85
89, 0, 0, 0, -85
90, 0, 0, 0, -85
91, 0, 0, 0, -84
92, 0, 0, 0, -85
93, 0, 0, 0, -84
94, 0, 0, 0, -85
95, 0, 0, 0, -84
96, 0, 0, 0, -85
97, 0, 0, 0, -84
98, 0, 0, 0, -85
99, 0, 0, 0, -85
100, 1, 0, 0, -82
101, 1, 0, 0, -82
102, 1, 0, 0, -81
103, 1, 0, 0, -82
104, 1, 0, 0, -81
105, 1, 0, 0, -82
106, 1, 0, 0, -82
107, 1, 0, 0, -82
108, 1, 0, 0, -82
109, 1, 0, 0, -82
110, 1, 0, 0, -82
111, 1, 0, 0, -81
112, 1, 0, 0, -82
113, 1, 0, 0, -82
114, 1, 0, 0, -82
115, 1, 0, 0, -81
116, 1, 0, 0, -82
117, 1, 0, 0, -82
118, 1, 0, 0, -82
119, 1, 0, 0, -82
120, 0, 2, 0, -80
121, 0, 2, 0, -79
122, 0, 2, 0, -80
123, 0, 2, 0, -79
124, 0, 2, 0, -80
125, 0, 2, 0, -79
126, 0, 2, 0, -79
127, 0, 2, 0, -79
128, 0, 2, 0, -80
129, 0, 2, 0, -79
130, 0, 2, 0, -80
131, 0, 2, 0, -79
132, 0, 2, 0, -80
133, 0, 2, 0, -79
134, 0, 2, 0, -80
135, 0, 2, 0, -79
136, 0, 2, 0, -80
137, 0, 2, 0, -79
138, 0, 2, 0, -80
139, 0, 2, 0, -79
140, 1, 2, 0, -77
141, 1, 2, 0, -77
142, 1, 2, 0, -77
143, 1, 2, 0, -77
144, 1, 2, 0, -77
145, 1, 2, 0, -77
146, 1, 2, 0, -77
147, 1, 2, 0, -77
