Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, -84
1, 0, -8, 0, -83
2, 0, -8, 0, -83
3, 0, -8, 0, -83
4, 0, -8, 0, -84
5, 0, -8, 0, -84
6, 0, -8, 0, -84
7, 0, -8, 0, -83
8, 0, -8, 0, -84
9, 0, -8, 0, -84
10, 0, -8, 0, -83
11, 0, -8, 0, -84
12, 0, -8, 0, -84
13, 0, -8, 0, -85
14, 0, -8, 0, -84
15, 0, -8, 0, -84
16, 0, -8, 0, -84
17, 0, -8, 0, -84
18, 0, -8, 0, -84
19, 0, -8, 0, -84
20, 1, -8, 0, -87
21, 1, -8, 0, -87
22, 1, -8, 0, -86
23, 1, -8, 0, -87
24, 1, -8, 0, -87
25, 1, -8, 0, -87
26, 1, -8, 0, -88
27, 1, -8, 0, -86
28, 1, -8, 0, -87
29, 1, -8, 0, -87
30, 1, -8, 0, -87
31, 1, -8, 0, -87
32, 1, -8, 0, -87
33, 1, -8, 0, -86
34, 1, -8, 0, -86
35, 1, -8, 0, -87
36, 1, -8, 0, -87
37, 1, -8, 0, -87
38, 1, -8, 0, -87
39, 1, -8, 0, -87
40, 0, -4, 0, -81
41, 0, -4, 0, -81
42, 0, -4, 0, -81
43, 0, -4, 0, -81
44, 0, -4, 0, -81
45, 0, -4, 0, -81
46, 0, -4, 0, -80
47, 0, -4, 0, -80
48, 0, -4, 0, -81
49, 0, -4, 0, -81
50, 0, -4, 0, -81
51, 0, -4, 0, -80
52, 0, -4, 0, -81
53, 0, -4, 0, -81
54, 0, -4, 0, -80
55, 0, -4, 0, -80
56, 0, -4, 0, -80
57, 0, -4, 0, -80
58, 0, -4, 0, -81
59, 0, -4, 0, -80
60, 1, -4, 0, -83
61, 1, -4, 0, -83
62, 1, -4, 0, -83
63, 1, -4, 0, -83
64, 1, -4, 0, -83
65, 1, -4, 0, -83
66, 1, -4, 0, -84
67, 1, -4, 0, -83
68, 1, -4, 0, -83
69, 1, -4, 0, -83
70, 1, -4, 0, -83
71, 1, -4, 0, -83
72, 1, -4, 0, -83
73, 1, -4, 0, -83
74, 1, -4, 0, -83
75, 1, -4, 0, -83
76, 1, -4, 0, -83
77, 1, -4, 0, -84
78, 1, -4, 0, -83
79, 1, -4, 0, -84
80, 0, 0, 0, -77
81, 0, 0, 0, -76
82, 0, 0, 0, -76
83, 0, 0, 0, -77
84, 0, 0, 0, -76
85, 0, 0, 0, -76
86, 0, 0, 0, -77
87, 0, 0, 0, -77
88, 0, 0, 0, -77
89, 0, 0, 0, -77
90, 0, 0, 0, -77
91, 0, 0, 0, -77
92, 0, 0, 0, -76
93, 0, 0, 0, -77
94, 0, 0, 0, -76
95, 0, 0, 0, -76
96, 0, 0, 0, -76
97, 0, 0, 0, -77
98, 0, 0, 0, -77
99, 0, 0, 0, -77
100, 1, 0, 0, -79
101, 1, 0, 0, -79
102, 1, 0, 0, -79
103, 1, 0, 0, -79
104, 1, 0, 0, -79
105, 1, 0, 0, -79
106, 1, 0, 0, -79
107, 1, 0, 0, -79
108, 1, 0, 0, -79
109, 1, 0, 0, -79
110, 1, 0, 0, -80
111, 1, 0, 0, -79
112, 1, 0, 0, -79
113, 1, 0, 0, -79
114, 1, 0, 0, -79
115, 1, 0, 0, -79
116, 1, 0, 0, -79
117, 1, 0, 0, -79
118, 1, 0, 0, -79
119, 1, 0, 0, -79
120, 0, 2, 0, -71
121, 0, 2, 0, -71
122, 0, 2, 0, -71
123, 0, 2, 0, -71
124, 0, 2, 0, -71
125, 0, 2, 0, -71
126, 0, 2, 0, -71
127, 0, 2, 0, -71
128, 0, 2, 0, -71
129, 0, 2, 0, -71
130, 0, 2, 0, -71
131, 0, 2, 0, -71
132, 0, 2, 0, -71
133, 0, 2, 0, -71
134, 0, 2, 0, -71
135, 0, 2, 0, -71
136, 0, 2, 0, -71
137, 0, 2, 0, -71
138, 0, 2, 0, -71
139, 0, 2, 0, -71
140, 1, 2, 0, -75
141, 1, 2, 0, -74
142, 1, 2, 0, -75
143, 1, 2, 0, -74
144, 1, 2, 0, -75
145, 1, 2, 0, -74
146, 1, 2, 0, -74
147, 1, 2, 0, -74
148, 1, 2, 0, -74
149, 1, 2, 0, -74
150, 1, 2, 0, -75
151, 1, 2, 0, -74
152, 1, 2, 0, -75
153, 1, 2, 0, -74
154, 1, 2, 0, -75
155, 1, 2, 0, -74
156, 1, 2, 0, -75
157, 1, 2, 0, -74
158, 1, 2, 0, -75
159, 1, 2, 0, -74
160, 0, 3, 0, -70
161, 0, 3, 0, -70
162, 0, 3, 0, -70
163, 0, 3, 0, -70
164, 0, 3, 0, -70
165, 0, 3, 0, -70
166, 0, 3, 0, -70
167, 0, 3, 0, -70
168, 0, 3, 0, -70
169, 0, 3, 0, -70
170, 0, 3, 0, -70
171, 0, 3, 0, -70
172, 0, 3, 0, -70
173, 0, 3, 0, -70
174, 0, 3, 0, -70
175, 0, 3, 0, -70
176, 0, 3, 0, -70
177, 0, 3, 0, -70
178, 0, 3, 0, -70
179, 0, 3, 0, -70
180, 1, 3, 0, -73
181, 1, 3, 0, -73
182, 1, 3, 0, -73
183, 1, 3, 0, -73
184, 1, 3, 0, -73
185, 1, 3, 0, -73
186, 1, 3, 0, -74
187, 1, 3, 0, -73
188, 1, 3, 0, -73
189, 1, 3, 0, -73
190, 1, 3, 0, -73
191, 1, 3, 0, -73
192, 1, 3, 0, -74
193, 1, 3, 0, -73
194, 1, 3, 0, -73
195, 1, 3, 0, -73
196, 1, 3, 0, -73
197, 1, 3, 0, -73
198, 1, 3, 0, -73
199, 1, 3, 0, -73
200, 0, 4, 0, -70
201, 0, 4, 0, -70
202, 0, 4, 0, -70
203, 0, 4, 0, -70
204, 0, 4, 0, -70
205, 0, 4, 0, -70
206, 0, 4, 0, -70
207, 0, 4, 0, -70
208, 0, 4, 0, -70
209, 0, 4, 0, -70
210, 0, 4, 0, -70
211, 0, 4, 0, -69
212, 0, 4, 0, -70
213, 0, 4, 0, -70
214, 0, 4, 0, -70
215, 0, 4, 0, -70
216, 0, 4, 0, -70
217, 0, 4, 0, -70
218, 0, 4, 0, -70
219, 0, 4, 0, -70
220, 1, 4, 0, -73
221, 1, 4, 0, -73
222, 1, 4, 0, -73
223, 1, 4, 0, -73
224, 1, 4, 0, -73
225, 1, 4, 0, -73
226, 1, 4, 0, -73
227, 1, 4, 0, -73
228, 1, 4, 0, -73
229, 1, 4, 0, -73
230, 1, 4, 0, -73
231, 1, 4, 0, -73
232, 1, 4, 0, -73
233, 1, 4, 0, -73
234, 1, 4, 0, -73
235, 1, 4, 0, -73
236, 1, 4, 0, -73
237, 1, 4, 0, -73
238, 1, 4, 0, -73
239, 1, 4, 0, -73
240, 0, 5, 0, -69
241, 0, 5, 0, -69
242, 0, 5, 0, -69
243, 0, 5, 0, -69
244, 0, 5, 0, -69
245, 0, 5, 0, -69
246, 0, 5, 0, -69
247, 0, 5, 0, -69
248, 0, 5, 0, -69
249, 0, 5, 0, -69
250, 0, 5, 0, -69
251, 0, 5, 0, -69
252, 0, 5, 0, -69
253, 0, 5, 0, -69
254, 0, 5, 0, -69
255, 0, 5, 0, -69
256, 0, 5, 0, -69
257, 0, 5, 0, -69
258, 0, 5, 0, -69
259, 0, 5, 0, -69
260, 1, 5, 0, -72
261, 1, 5, 0, -72
262, 1, 5, 0, -72
263, 1, 5, 0, -72
264, 1, 5, 0, -72
265, 1, 5, 0, -72
266, 1, 5, 0, -72
267, 1, 5, 0, -72
268, 1, 5, 0, -72
269, 1, 5, 0, -72
270, 1, 5, 0, -72
271, 1, 5, 0, -72
272, 1, 5, 0, -72
273, 1, 5, 0, -72
274, 1, 5, 0, -73
275, 1, 5, 0, -72
276, 1, 5, 0, -72
277, 1, 5, 0, -72
278, 1, 5, 0, -72
279, 1, 5, 0, -72
280, 0, 6, 0, -68
281, 0, 6, 0, -68
282, 0, 6, 0, -68
283, 0, 6, 0, -68
284, 0, 6, 0, -68
285, 0, 6, 0, -68
286, 0, 6, 0, -68
287, 0, 6, 0, -68
288, 0, 6, 0, -68
289, 0, 6, 0, -68
290, 0, 6, 0, -68
291, 0, 6, 0, -68
292, 0, 6, 0, -68
293, 0, 6, 0, -68
294, 0, 6, 0, -68
295, 0, 6, 0, -68
296, 0, 6, 0, -68
297, 0, 6, 0, -68
298, 0, 6, 0, -68
299, 0, 6, 0, -68
300, 1, 6, 0, -71
301, 1, 6, 0, -71
302, 1, 6, 0, -71
303, 1, 6, 0, -71
304, 1, 6, 0, -71
305, 1, 6, 0, -71
306, 1, 6, 0, -71
307, 1, 6, 0, -71
308, 1, 6, 0, -71
309, 1, 6, 0, -71
310, 1, 6, 0, -71
311, 1, 6, 0, -71
312, 1, 6, 0, -71
313, 1, 6, 0, -71
314, 1, 6, 0, -71
315, 1, 6, 0, -71
316, 1, 6, 0, -71
317, 1, 6, 0, -71
318, 1, 6, 0, -71
319, 1, 6, 0, -71
320, 0, 7, 0, -68
321, 0, 7, 0, -68
322, 0, 7, 0, -68
323, 0, 7, 0, -68
324, 0, 7, 0, -68
325, 0, 7, 0, -68
326, 0, 7, 0, -68
327, 0, 7, 0, -68
328, 0, 7, 0, -68
329, 0, 7, 0, -68
330, 0, 7, 0, -68
