Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, NONE
1, 0, -8, 0, NONE
2, 0, -8, 0, NONE
3, 0, -8, 0, NONE
4, 0, -8, 0, NONE
5, 0, -8, 0, NONE
6, 0, -8, 0, NONE
7, 0, -8, 0, NONE
8, 0, -8, 0, NONE
9, 0, -8, 0, NONE
10, 0, -8, 0, NONE
11, 0, -8, 0, NONE
12, 0, -8, 0, NONE
13, 0, -8, 0, NONE
14, 0, -8, 0, NONE
15, 0, -8, 0, NONE
16, 0, -8, 0, NONE
17, 0, -8, 0, NONE
18, 0, -8, 0, NONE
19, 0, -8, 0, NONE
20, 1, -8, 0, -80
21, 1, -8, 0, -80
22, 1, -8, 0, -80
23, 1, -8, 0, -80
24, 1, -8, 0, -80
25, 1, -8, 0, -80
26, 1, -8, 0, -80
27, 1, -8, 0, -80
28, 1, -8, 0, -80
29, 1, -8, 0, -80
30, 1, -8, 0, -80
31, 1, -8, 0, -80
32, 1, -8, 0, -80
33, 1, -8, 0, -80
34, 1, -8, 0, -79
35, 1, -8, 0, -80
36, 1, -8, 0, -80
37, 1, -8, 0, -80
38, 1, -8, 0, -80
39, 1, -8, 0, -80
40, 0, -4, 0, NONE
41, 0, -4, 0, NONE
42, 0, -4, 0, NONE
43, 0, -4, 0, NONE
44, 0, -4, 0, NONE
45, 0, -4, 0, NONE
46, 0, -4, 0, NONE
47, 0, -4, 0, NONE
48, 0, -4, 0, NONE
49, 0, -4, 0, NONE
50, 0, -4, 0, NONE
51, 0, -4, 0, NONE
52, 0, -4, 0, NONE
53, 0, -4, 0, NONE
54, 0, -4, 0, NONE
55, 0, -4, 0, NONE
56, 0, -4, 0, NONE
57, 0, -4, 0, NONE
58, 0, -4, 0, NONE
59, 0, -4, 0, NONE
60, 1, -4, 0, -77
61, 1, -4, 0, -77
62, 1, -4, 0, -77
63, 1, -4, 0, -77
64, 1, -4, 0, -77
65, 1, -4, 0, -76
66, 1, -4, 0, -77
67, 1, -4, 0, -76
68, 1, -4, 0, -77
69, 1, -4, 0, -76
70, 1, -4, 0, -77
71, 1, -4, 0, -77
72, 1, -4, 0, -77
73, 1, -4, 0, -77
74, 1, -4, 0, -77
75, 1, -4, 0, -77
76, 1, -4, 0, -77
77, 1, -4, 0, -77
78, 1, -4, 0, -77
79, 1, -4, 0, -76
80, 0, 0, 0, NONE
81, 0, 0, 0, NONE
82, 0, 0, 0, NONE
83, 0, 0, 0, -94
84, 0, 0, 0, NONE
85, 0, 0, 0, NONE
86, 0, 0, 0, -95
87, 0, 0, 0, NONE
88, 0, 0, 0, -95
89, 0, 0, 0, -96
90, 0, 0, 0, NONE
91, 0, 0, 0, NONE
92, 0, 0, 0, NONE
93, 0, 0, 0, -94
94, 0, 0, 0, -96
95, 0, 0, 0, -95
96, 0, 0, 0, -93
97, 0, 0, 0, -94
98, 0, 0, 0, -94
99, 0, 0, 0, NONE
100, 1, 0, 0, -73
101, 1, 0, 0, -73
102, 1, 0, 0, -73
103, 1, 0, 0, -72
104, 1, 0, 0, -73
105, 1, 0, 0, -73
106, 1, 0, 0, -73
107, 1, 0, 0, -73
108, 1, 0, 0, -73
109, 1, 0, 0, -73
110, 1, 0, 0, -73
111, 1, 0, 0, -73
112, 1, 0, 0, -73
113, 1, 0, 0, -73
114, 1, 0, 0, -72
115, 1, 0, 0, -73
116, 1, 0, 0, -73
117, 1, 0, 0, -72
118, 1, 0, 0, -73
119, 1, 0, 0, -73
120, 0, 2, 0, -92
121, 0, 2, 0, -90
122, 0, 2, 0, -92
123, 0, 2, 0, -91
124, 0, 2, 0, -91
125, 0, 2, 0, -91
126, 0, 2, 0, -91
127, 0, 2, 0, -91
128, 0, 2, 0, -92
129, 0, 2, 0, -91
130, 0, 2, 0, -93
131, 0, 2, 0, -91
132, 0, 2, 0, -93
133, 0, 2, 0, -91
134, 0, 2, 0, -92
135, 0, 2, 0, -91
136, 0, 2, 0, -93
137, 0, 2, 0, -91
138, 0, 2, 0, -91
139, 0, 2, 0, -91
140, 1, 2, 0, -67
141, 1, 2, 0, -67
142, 1, 2, 0, -68
143, 1, 2, 0, -67
144, 1, 2, 0, -67
145, 1, 2, 0, -68
146, 1, 2, 0, -67
147, 1, 2, 0, -67
148, 1, 2, 0, -67
149, 1, 2, 0, -67
150, 1, 2, 0, -68
151, 1, 2, 0, -67
152, 1, 2, 0, -68
153, 1, 2, 0, -67
154, 1, 2, 0, -67
155, 1, 2, 0, -67
156, 1, 2, 0, -67
157, 1, 2, 0, -68
158, 1, 2, 0, -67
159, 1, 2, 0, -67
160, 0, 3, 0, -90
161, 0, 3, 0, -90
162, 0, 3, 0, -90
