Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, -80
1, 0, -8, 0, -80
2, 0, -8, 0, -80
3, 0, -8, 0, -81
4, 0, -8, 0, -80
5, 0, -8, 0, -81
6, 0, -8, 0, -81
7, 0, -8, 0, -81
8, 0, -8, 0, -81
9, 0, -8, 0, -81
10, 0, -8, 0, -80
11, 0, -8, 0, -81
12, 0, -8, 0, -80
13, 0, -8, 0, -81
14, 0, -8, 0, -80
15, 0, -8, 0, -81
16, 0, -8, 0, -80
17, 0, -8, 0, -81
18, 0, -8, 0, -81
19, 0, -8, 0, -80
20, 1, -8, 0, -78
21, 1, -8, 0, -78
22, 1, -8, 0, -78
23, 1, -8, 0, -78
24, 1, -8, 0, -78
25, 1, -8, 0, -77
26, 1, -8, 0, -78
27, 1, -8, 0, -78
28, 1, -8, 0, -78
29, 1, -8, 0, -78
30, 1, -8, 0, -77
31, 1, -8, 0, -78
32, 1, -8, 0, -77
33, 1, -8, 0, -78
34, 1, -8, 0, -78
35, 1, -8, 0, -78
36, 1, -8, 0, -78
37, 1, -8, 0, -77
38, 1, -8, 0, -78
39, 1, -8, 0, -78
40, 0, -4, 0, -78
41, 0, -4, 0, -77
42, 0, -4, 0, -77
43, 0, -4, 0, -78
44, 0, -4, 0, -77
45, 0, -4, 0, -78
46, 0, -4, 0, -77
47, 0, -4, 0, -78
48, 0, -4, 0, -77
49, 0, -4, 0, -77
50, 0, -4, 0, -77
51, 0, -4, 0, -78
52, 0, -4, 0, -77
53, 0, -4, 0, -78
54, 0, -4, 0, -77
55, 0, -4, 0, -77
56, 0, -4, 0, -78
57, 0, -4, 0, -77
58, 0, -4, 0, -77
59, 0, -4, 0, -77
60, 1, -4, 0, -74
61, 1, -4, 0, -74
62, 1, -4, 0, -74
63, 1, -4, 0, -75
64, 1, -4, 0, -74
65, 1, -4, 0, -74
66, 1, -4, 0, -74
67, 1, -4, 0, -74
68, 1, -4, 0, -74
69, 1, -4, 0, -74
70, 1, -4, 0, -74
71, 1, -4, 0, -75
72, 1, -4, 0, -75
73, 1, -4, 0, -74
74, 1, -4, 0, -74
75, 1, -4, 0, -74
76, 1, -4, 0, -74
77, 1, -4, 0, -74
78, 1, -4, 0, -74
79, 1, -4, 0, -74
80, 0, 0, 0, -73
81, 0, 0, 0, -73
82, 0, 0, 0, -73
83, 0, 0, 0, -74
84, 0, 0, 0, -73
85, 0, 0, 0, -74
86, 0, 0, 0, -73
87, 0, 0, 0, -73
88, 0, 0, 0, -73
89, 0, 0, 0, -73
90, 0, 0, 0, -73
91, 0, 0, 0, -73
92, 0, 0, 0, -73
93, 0, 0, 0, -73
94, 0, 0, 0, -73
95, 0, 0, 0, -73
96, 0, 0, 0, -73
97, 0, 0, 0, -73
98, 0, 0, 0, -73
99, 0, 0, 0, -73
100, 1, 0, 0, -70
101, 1, 0, 0, -70
102, 1, 0, 0, -70
103, 1, 0, 0, -70
104, 1, 0, 0, -70
105, 1, 0, 0, -70
106, 1, 0, 0, -70
107, 1, 0, 0, -70
108, 1, 0, 0, -70
109, 1, 0, 0, -70
110, 1, 0, 0, -70
111, 1, 0, 0, -70
112, 1, 0, 0, -70
113, 1, 0, 0, -70
114, 1, 0, 0, -70
115, 1, 0, 0, -70
116, 1, 0, 0, -70
